,78413
Stockdon et al. (2006),0.5919033699207374
Vousdoukas et al. (2012),0.6424627779693104
Beuzen et al. (2019),0.33906791924509394
Holman (1986),0.7561469657840252
Nielsen (2009),0.9167115606643639
Ruggiero et al. (2001),0.50571528486886
Atkinson et al. (2017),0.8106978415919315
Senechal et al. (2011),0.5423178121179439
Passarella et al. (2018),1.1423631194164605
time,2019-11-02 15:00:00
VHM0,1.38
VTPK,8.28
VMDR,29.410004
tide,-0.532
Calendar Date (UTC),2019-11-02 15:00:00+00:00
time_diff,0.0
